time,year,fish,port,landings
UTC,,,,pounds
1930-09-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",All,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,0
1930-10-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",All,237648
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,0
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,120
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,237528
1930-11-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",All,377400
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",Eureka,3432
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",Los Angeles,0
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",Monterey,0
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",San Diego,0
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",San Francisco,373968
1930-12-16T00:00:00Z,1930,"Crab, Dungeness",Santa Barbara,0
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",All,190726
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,3678
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,108
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,186940
1931-01-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",All,279620
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,7440
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,36
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,272144
1931-02-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",All,264510
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,19898
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,24
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,244588
1931-03-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",All,337855
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,17180
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,15
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,320660
1931-04-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",All,285576
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,15660
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,152
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,269764
1931-05-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",All,202624
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,15648
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,60
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,186916
1931-06-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",All,97205
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,16704
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,0
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,80501
