,lat_42,lat_39
1983-06-01,77.0,247.0
1983-07-01,61.0,217.0
1983-08-01,43.0,103.0
1983-09-01,61.0,143.0
1983-10-01,0.0,23.0
1983-11-01,-144.0,-29.0
1983-12-01,-22.0,-16.0
1984-01-01,-17.0,17.0
1984-02-01,-85.0,-2.0
1984-03-01,-9.0,31.0
1984-04-01,18.0,111.0
1984-05-01,21.0,156.0
1984-06-01,101.0,325.0
1984-07-01,181.0,275.0
1984-08-01,63.0,182.0
1984-09-01,31.0,183.0
1984-10-01,-4.0,37.0
1984-11-01,-117.0,-32.0
1984-12-01,-4.0,2.0
1985-01-01,-32.0,-0.0
1985-02-01,9.0,86.0
1985-03-01,5.0,44.0
1985-04-01,21.0,107.0
1985-05-01,32.0,120.0
1985-06-01,89.0,186.0
1985-07-01,80.0,147.0
1985-08-01,63.0,139.0
1985-09-01,21.0,75.0
1985-10-01,1.0,69.0
1985-11-01,1.0,22.0
1985-12-01,-80.0,-11.0
1986-01-01,-269.0,-124.0
1986-02-01,-72.0,-37.0
1986-03-01,-19.0,3.0
1986-04-01,47.0,137.0
1986-05-01,14.0,109.0
1986-06-01,35.0,120.0
1986-07-01,118.0,250.0
1986-08-01,77.0,158.0
1986-09-01,11.0,58.0
1986-10-01,-6.0,19.0
1986-11-01,-1.0,40.0
1986-12-01,-101.0,-22.0
1987-01-01,-90.0,-15.0
1987-02-01,-12.0,2.0
1987-03-01,-26.0,-2.0
1987-04-01,13.0,82.0
1987-05-01,55.0,168.0
1987-06-01,81.0,175.0
1987-07-01,66.0,167.0
1987-08-01,140.0,181.0
1987-09-01,38.0,127.0
1987-10-01,9.0,27.0
1987-11-01,-40.0,0.0
1987-12-01,-38.0,-11.0
1988-01-01,-92.0,-22.0
1988-02-01,-0.0,43.0
1988-03-01,11.0,111.0
1988-04-01,6.0,23.0
1988-05-01,13.0,82.0
1988-06-01,65.0,175.0
1988-07-01,136.0,263.0
1988-08-01,122.0,182.0
1988-09-01,44.0,144.0
1988-10-01,4.0,40.0
1988-11-01,-56.0,1.0
1988-12-01,-4.0,13.0
1989-01-01,-0.0,36.0
1989-02-01,-1.0,10.0
1989-03-01,-43.0,-22.0
1989-04-01,5.0,30.0
1989-05-01,66.0,178.0
1989-06-01,78.0,133.0
1989-07-01,128.0,319.0
1989-08-01,109.0,232.0
1989-09-01,27.0,56.0
1989-10-01,2.0,43.0
1989-11-01,-0.0,49.0
1989-12-01,-16.0,6.0
1990-01-01,-23.0,12.0
1990-02-01,-9.0,18.0
1990-03-01,1.0,34.0
1990-04-01,30.0,82.0
1990-05-01,26.0,87.0
1990-06-01,46.0,135.0
1990-07-01,122.0,106.0
1990-08-01,45.0,62.0
1990-09-01,46.0,61.0
1990-10-01,12.0,74.0
1990-11-01,0.0,39.0
1990-12-01,2.0,30.0
1991-01-01,-21.0,-2.0
1991-02-01,-45.0,-5.0
1991-03-01,10.0,27.0
1991-04-01,40.0,105.0
1991-05-01,135.0,239.0
1991-06-01,169.0,266.0
1991-07-01,171.0,201.0
1991-08-01,49.0,74.0
1991-09-01,77.0,79.0
1991-10-01,33.0,52.0
1991-11-01,-5.0,27.0
1991-12-01,-28.0,-3.0
1992-01-01,-118.0,-24.0
1992-02-01,-123.0,-70.0
1992-03-01,3.0,2.0
1992-04-01,-2.0,18.0
1992-05-01,141.0,180.0
1992-06-01,99.0,128.0
1992-07-01,126.0,148.0
1992-08-01,117.0,151.0
1992-09-01,42.0,73.0
1992-10-01,0.0,7.0
1992-11-01,-11.0,8.0
1992-12-01,-21.0,2.0
1993-01-01,-39.0,-8.0
1993-02-01,-36.0,-19.0
1993-03-01,-18.0,3.0
1993-04-01,-23.0,32.0
1993-05-01,-1.0,3.0
1993-06-01,86.0,219.0
1993-07-01,185.0,278.0
1993-08-01,126.0,161.0
1993-09-01,72.0,107.0
1993-10-01,5.0,38.0
1993-11-01,6.0,14.0
1993-12-01,-75.0,-17.0
1994-01-01,-40.0,-6.0
1994-02-01,-31.0,-3.0
1994-03-01,-0.0,17.0
1994-04-01,32.0,116.0
1994-05-01,75.0,165.0
1994-06-01,98.0,223.0
1994-07-01,195.0,250.0
1994-08-01,93.0,202.0
1994-09-01,36.0,71.0
1994-10-01,21.0,92.0
1994-11-01,-10.0,28.0
1994-12-01,-100.0,-14.0
1995-01-01,-332.0,-283.0
1995-02-01,-9.0,-0.0
1995-03-01,-30.0,-7.0
1995-04-01,15.0,51.0
1995-05-01,119.0,170.0
1995-06-01,75.0,138.0
1995-07-01,82.0,106.0
1995-08-01,98.0,222.0
1995-09-01,19.0,88.0
1995-10-01,18.0,93.0
1995-11-01,-39.0,8.0
1995-12-01,-143.0,-41.0
